"value","count","cumsum","pct"
"straight",11049,21923340,46.78
"bank",11048,21934388,46.81
"chicken",11032,21945420,46.83
"message",11017,21956437,46.86
"complete",10999,21967436,46.88
"serious",10990,21978426,46.9
"involved",10987,21989413,46.93
"itself",10976,22000389,46.95
"changes",10974,22011363,46.97
"eating",10966,22022329,47
"performance",10957,22033286,47.02
"starts",10954,22044240,47.04
"created",10950,22055190,47.07
"force",10941,22066131,47.09
"changed",10934,22077065,47.11
"finish",10916,22087981,47.14
"floor",10912,22098893,47.16
"international",10902,22109795,47.18
"stage",10893,22120688,47.21
"tired",10893,22131581,47.23
"comment",10854,22142435,47.25
"photo",10849,22153284,47.28
"ahead",10830,22164114,47.3
"miles",10809,22174923,47.32
"daily",10806,22185729,47.34
"sit",10756,22196485,47.37
"kept",10748,22207233,47.39
"defense",10743,22217976,47.41
"chris",10707,22228683,47.44
"expect",10686,22239369,47.46
"figure",10684,22250053,47.48
"wear",10672,22260725,47.5
"july",10656,22271381,47.53
"average",10641,22282022,47.55
"data",10633,22292655,47.57
"chocolate",10625,22303280,47.6
"gift",10624,22313904,47.62
"land",10619,22324523,47.64
"interested",10617,22335140,47.66
"account",10609,22345749,47.69
"quarter",10592,22356341,47.71
"released",10589,22366930,47.73
"born",10585,22377515,47.75
"quality",10585,22388100,47.78
"speak",10584,22398684,47.8
"nation",10582,22409266,47.82
"spending",10582,22419848,47.84
"anyway",10578,22430426,47.87
"begin",10578,22441004,47.89
"album",10573,22451577,47.91
"feels",10572,22462149,47.93
"helped",10558,22472707,47.96
"spot",10554,22483261,47.98
"economy",10530,22493791,48
"driving",10511,22504302,48.02
"economic",10507,22514809,48.05
"total",10501,22525310,48.07
"relationship",10499,22535809,48.09
"rights",10488,22546297,48.11
"pain",10477,22556774,48.14
"original",10466,22567240,48.16
"calls",10460,22577700,48.18
"poor",10449,22588149,48.2
"earth",10445,22598594,48.23
"runs",10415,22609009,48.25
"rate",10404,22619413,48.27
"statement",10400,22629813,48.29
"foot",10388,22640201,48.31
"king",10377,22650578,48.34
"internet",10363,22660941,48.36
"similar",10354,22671295,48.38
"proud",10344,22681639,48.4
"walking",10334,22691973,48.42
"manager",10326,22702299,48.45
"hotel",10302,22712601,48.47
"beginning",10297,22722898,48.49
"allowed",10287,22733185,48.51
