"","value","count","cumsum","pct"
"512","hour",6558,25135658,76.43
"513","written",6550,25142208,76.45
"514","example",6543,25148751,76.47
"515","visit",6513,25155264,76.49
"516","recently",6479,25161743,76.51
"517","style",6471,25168214,76.53
"518","street",6463,25174677,76.55
"519","bed",6461,25181138,76.57
"520","hair",6447,25187585,76.59
"521","song",6447,25194032,76.61
"522","forward",6436,25200468,76.63
"523","lord",6434,25206902,76.65
"524","huge",6357,25213259,76.67
"525","media",6346,25219605,76.69
"526","whatever",6326,25225931,76.71
"527","fall",6313,25232244,76.73
"528","blue",6310,25238554,76.75
"529","yesterday",6297,25244851,76.76
"530","available",6286,25251137,76.78
"531","happen",6284,25257421,76.8
"532","personal",6284,25263705,76.82
"533","deal",6280,25269985,76.84
"534","control",6210,25276195,76.86
"535","below",6205,25282400,76.88
"536","page",6200,25288600,76.9
"537","national",6192,25294792,76.92
"538","pay",6192,25300984,76.94
"539","itself",6183,25307167,76.95
"540","design",6179,25313346,76.97
"541","middle",6128,25319474,76.99
"542","cover",6121,25325595,77.01
"543","hit",6118,25331713,77.03
"544","south",6078,25337791,77.05
"545","health",6075,25343866,77.07
"546","non",6061,25349927,77.08
"547","chance",6056,25355983,77.1
"548","road",6015,25361998,77.12
"549","st",6015,25368013,77.14
"550","b",6011,25374024,77.16
"551","due",6003,25380027,77.18
"552","worth",5991,25386018,77.19
"553","hold",5976,25391994,77.21
"554","certain",5969,25397963,77.23
"555","sort",5953,25403916,77.25
"556","police",5944,25409860,77.27
"557","office",5907,25415767,77.28
"558","wish",5907,25421674,77.3
"559","trip",5901,25427575,77.32
"560","strong",5887,25433462,77.34
"561","watching",5887,25439349,77.36
"562","sound",5884,25445233,77.37
"563","entire",5863,25451096,77.39
"564","worked",5848,25456944,77.41
"565","earth",5834,25462778,77.43
"566","dinner",5831,25468609,77.45
"567","giving",5819,25474428,77.46
"568","follow",5801,25480229,77.48
"569","definitely",5798,25486027,77.5
"570","alone",5783,25491810,77.52
"571","phone",5778,25497588,77.53
"572","air",5762,25503350,77.55
"573","note",5761,25509111,77.57
"574","step",5744,25514855,77.59
"575","market",5718,25520573,77.6
"576","brought",5710,25526283,77.62
