"value","count","cumsum","pct"
"diary calorie goal",39,73595,13.36
"don know beautiful",39,73634,13.37
"don really want",39,73673,13.38
"don think like",39,73712,13.39
"dreams last night",39,73751,13.39
"exercise diary calorie",39,73790,13.4
"feel free contact",39,73829,13.41
"game comment android",39,73868,13.41
"get go home",39,73907,13.42
"go high school",39,73946,13.43
"good morning thank",39,73985,13.44
"great social media",39,74024,13.44
"hey just saw",39,74063,13.45
"hop dance music",39,74102,13.46
"join happy hour",39,74141,13.46
"just getting ready",39,74180,13.47
"just got asked",39,74219,13.48
"just got little",39,74258,13.48
"just woke nap",39,74297,13.49
"know feel like",39,74336,13.5
"let know sent",39,74375,13.51
"like did last",39,74414,13.51
"make life easier",39,74453,13.52
"matter matter don",39,74492,13.53
